epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1689.28,0.8474,0.52507,1.03558,0.93804,0.89505,0.94451,0.67417,1.02116,0.57203,1.13678,0.000147193,0.000147193,0.000147193
43,1727.36,0.8596,0.5229,1.03731,0.91867,0.86105,0.9282,0.65769,1.02548,0.61426,1.15171,0.000139685,0.000139685,0.000139685
44,1769.74,0.85077,0.53134,1.03568,0.90508,0.8716,0.93197,0.6633,1.01594,0.59861,1.13389,0.000132177,0.000132177,0.000132177
45,1809.2,0.85099,0.53105,1.04192,0.93439,0.87981,0.93564,0.68214,0.99264,0.56869,1.11863,0.00012467,0.00012467,0.00012467
46,1850.45,0.81805,0.50506,1.01604,0.89943,0.88122,0.92839,0.66825,1.01378,0.60293,1.13226,0.000117163,0.000117163,0.000117163
47,1887.75,0.81027,0.49353,1.00992,0.93566,0.8585,0.92969,0.66005,1.02632,0.59986,1.14074,0.000109655,0.000109655,0.000109655
48,1927.34,0.7823,0.48732,1.00212,0.89341,0.9213,0.93798,0.66472,1.03269,0.5833,1.1455,0.000102148,0.000102148,0.000102148
49,1966.7,0.80041,0.49259,1.01029,0.90799,0.90119,0.93647,0.66706,1.03753,0.57813,1.15742,9.464e-05,9.464e-05,9.464e-05
50,2005.18,0.78712,0.49801,1.01211,0.93449,0.87678,0.93924,0.66854,1.03141,0.58433,1.13753,8.71325e-05,8.71325e-05,8.71325e-05
51,2052.03,0.75068,0.41702,1.00499,0.88966,0.90219,0.93396,0.66531,1.03537,0.57135,1.14538,7.9625e-05,7.9625e-05,7.9625e-05
52,2092.78,0.73139,0.40619,0.99663,0.9101,0.89883,0.93668,0.67481,1.01751,0.58395,1.13011,7.21175e-05,7.21175e-05,7.21175e-05
53,2132.14,0.70255,0.38648,0.98488,0.92413,0.88217,0.93641,0.67493,1.01729,0.5887,1.13543,6.461e-05,6.461e-05,6.461e-05
54,2172.92,0.69761,0.3826,0.98999,0.93011,0.87466,0.93561,0.6686,1.03326,0.59773,1.14421,5.71025e-05,5.71025e-05,5.71025e-05
55,2213.42,0.68584,0.37538,0.97886,0.92975,0.86961,0.92764,0.66799,1.02485,0.58657,1.14232,4.9595e-05,4.9595e-05,4.9595e-05
56,2254.42,0.67908,0.38431,0.97452,0.92749,0.87154,0.9346,0.66396,1.03932,0.58805,1.15044,4.20875e-05,4.20875e-05,4.20875e-05
57,2293.03,0.66377,0.36675,0.96786,0.91727,0.87623,0.93139,0.66352,1.0402,0.58586,1.15073,3.458e-05,3.458e-05,3.458e-05
58,2332.48,0.6556,0.3652,0.97148,0.92915,0.87861,0.93483,0.66344,1.03234,0.57853,1.14515,2.70725e-05,2.70725e-05,2.70725e-05
59,2369.62,0.66077,0.36752,0.97114,0.92546,0.87793,0.93367,0.66379,1.0378,0.59397,1.1483,1.9565e-05,1.9565e-05,1.9565e-05
60,2410.52,0.64967,0.36215,0.96085,0.91708,0.88691,0.93445,0.66505,1.03183,0.58789,1.14647,1.20575e-05,1.20575e-05,1.20575e-05
